Date;US10YR;SPX;JPY;GOLD;GBP;AUD;CAD;OIL;MXWO;GABI;GABIHY;VIX
2009-01-30;2.8403;822.5;89.92;927.85;1.2813;0.6375;1.2296;45.88;838.83;351.9;1413.102;44.84
2009-02-06;2.9917;867.75;91.9;911.5;1.294;0.6753;1.2193;46.21;870.74;350.346;1386.344;43.37
2009-02-13;2.8894;820;91.93;941.7;1.2862;0.6568;1.2354;44.81;837.02;348.868;1407.818;42.93
2009-02-20;2.7879;769.5;93.35;992.9;1.2826;0.6454;1.252;41.89;772.84;364.816;1453.929;49.3
2009-02-27;3.0131;734.25;97.58;942.32;1.2669;0.639;1.2763;46.35;750.86;363.345;1494.04;46.35
2009-03-06;2.8717;687.75;98.26;939.37;1.2653;0.6405;1.2872;44.85;697.5;388.364;1601.668;49.33
2009-03-13;2.8902;757.75;97.95;929.73;1.2928;0.6582;1.2718;44.93;756.41;389.428;1542.006;42.36
2009-03-20;2.6344;789.4;95.94;952.23;1.3582;0.6869;1.2407;51.22;789.93;386.739;1520.179;45.89
2009-03-27;2.7571;816;97.86;923.15;1.3287;0.6942;1.2421;51.98;824.69;383.707;1437.219;41.04
2009-04-03;2.8853;840.5;100.32;893.15;1.3486;0.7151;1.2298;53.47;854.9;368.819;1382.146;39.7
2009-04-10;2.9226;852.5;100.25;881.65;1.3189;0.7196;1.2257;54.06;861.96;359.126;1345.359;36.53
2009-04-17;2.9451;866.75;99.16;868.85;1.3044;0.7225;1.2132;53.35;881.27;343.545;1267.396;33.94
2009-04-24;2.9903;866.5;97.17;912.83;1.3242;0.7232;1.2096;51.67;882.26;338.113;1259.121;36.82
2009-05-01;3.1533;876;99.12;886.55;1.3273;0.7306;1.1852;52.85;896.22;317.96;1156.541;35.3
2009-05-08;3.2856;924.75;98.47;916.65;1.3634;0.7686;1.1494;58.14;953.57;292.098;1067.791;32.05
2009-05-15;3.1341;883;95.21;931.78;1.3495;0.7491;1.1776;55.98;920.85;290.581;1122.682;33.12
2009-05-22;3.4495;885;94.78;957.35;1.3998;0.7827;1.1195;60.78;941.25;276.378;1062.898;32.63
2009-05-29;3.4594;918;95.34;979.18;1.4158;0.8011;1.0915;65.52;970;256.518;1002.015;28.92
2009-06-05;3.8279;940.5;98.64;955.33;1.3968;0.7932;1.119;68.34;982.29;238.01;911.956;29.62
2009-06-12;3.7916;944.75;98.44;939.3;1.4016;0.8124;1.119;70.92;994.39;228.141;890.692;28.15
2009-06-19;3.7808;926.15;96.27;934.03;1.3937;0.806;1.1352;69.19;964.8;229.085;927.511;27.99
2009-06-26;3.5363;914;95.19;939.6;1.4056;0.8079;1.1524;68.92;963.77;230.564;955.871;25.93
2009-07-03;3.4985;893.25;96.04;932.5;1.398;0.7969;1.1607;65.61;946.8;226.903;909.231;27.95
2009-07-10;3.3026;874.25;92.55;913.05;1.3936;0.7788;1.1638;60.52;921.4;226.335;936.763;29.02
2009-07-17;3.6433;937;94.2;937.5;1.4102;0.8024;1.1134;65.38;982.5;211.301;894.436;24.34
2009-07-24;3.6578;977.75;94.79;951.35;1.4202;0.8172;1.0868;70.32;1027.49;198.362;847.952;23.09
2009-07-31;3.4796;984.5;94.68;954;1.4257;0.8359;1.0776;71.7;1044.75;185.525;802.272;25.92
