Date;f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f12;f13;f14;f15;f16;f17;f18;f19;f20;f21;f22;f23;f24;m1 ;m2;m3;m4;m5;m6;m7;m8;target
31.12.2018;0.2;0.4;-1;1.8;-0.7;0.1;0.3;1.2;1.1;;0.2;0.5;5;-1.5;-1.1;0.5;0.4;0.4;8.8;5;;-0.4;;0.2;5646.3999;6.5999;2.318;1.906;1.9;1.638;-0.75;40.15;0.7049
30.12.2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.12.2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.12.2018;;;;;;;;;;;;;;;;;;;;;;;;;5654.3242;6.5981;2.362;1.942;1.934;1.647;-0.7;40.95;0.7047
27.12.2018;;;;;;;;;;;;;;;;;;;;;;;;;5597.2378;6.585;2.378;1.953;1.953;1.646;-1.35;40.2;0.7033
26.12.2018;;;;;;;;;;;;;;;;;;;;;;;;;;6.6159;2.363;1.934;1.947;1.628;-2.7;41.96;0.7066
25.12.2018;;;;;;;;;;;;;;;;;;;;;;;;;;6.5878;2.363;1.934;1.947;1.656;-2.7;41.96;0.7036
24.12.2018;;;;;;;;;;;;;;;;;;;;;;;;;5493.7998;6.5999;2.363;1.934;1.947;1.656;-2.7;41.95;0.7049
23.12.2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22.12.2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21.12.2018;;;;;;;;;;;;;;;;;;;;;;;;;5467.6392;6.5915;2.387;1.97;1.973;1.662;-1.6;40.7;0.704
20.12.2018;;;;;;;;;;;;;;;;;;;;;;;;;5505.8218;6.6552;2.342;1.936;1.931;1.654;-2.35;41.3;0.7108
19.12.2018;;;;;;;;;;;;;;;;;;;;;;;;;5580.5962;6.6561;2.385;1.976;1.945;1.667;1.6;38.95;0.7109
18.12.2018;;;;;;;;;;;;;;;;;;;;;;;;;5589.4692;6.7235;2.419;2.007;1.951;1.671;3.3;39.4;0.7181
17.12.2018;;;;;;;;;;;;;;;;;;;;;;;;;5658.2729;6.7217;2.444;2.044;1.971;1.689;5.25;39.65;0.7179
16.12.2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
